Phrase,"Search Volume",Category,Fulfillment,"Size Tier","Variation Count",BSR,Price,"Monthly Sales","Monthly Revenue","Review Count","Reviews Rating",Sellers,"Last Year Sales","Sales Year Over Year","Sales Trend (90 days)","Price Trend (90 days)","Best Sales Period","Broad Reach Potential","Number of competing products","Sales to Reviews"
"shotski board with glasses 4",611,"Kitchen & Dining",FBA,"Small Oversize",3,85624,37.34,146,4443.56,227,4.05,2,2105,-10,0,0,"Jan, 2024",0,80,8.30
"breastmilk ring making kit",602,Baby,FBA,"Large Standard-Size",2,62456,41.41,162,4376.99,110,4.07,2,1627,15,-11,0,"Dec, 2023",0,75,6.80
"molduras para pared",600,"Tools & Home Improvement",FBA,"Large Standard-Size",7,36972,32.48,511,10161.9,373,4.06,2,10006,-31,39,0,"Jan, 2024",2,181,20.89
"loupes dental glasses with light",791,"Industrial & Scientific",FBA,"Large Standard-Size",2,66974,45.46,187,6231.48,139,4.06,3,1238,1049,-16,0,"Jan, 2024",1,489,3.26
"azaan clock for home usa",597,"Home & Kitchen",FBA,"Large Standard-Size",2,286296,54.53,118,12092.14,166,4.15,3,1115,34,0,0,"Mar, 2023",0,119,1.77
"crochet yarn holder",1266,"Arts, Crafts & Sewing",FBA,"Large Standard-Size",6,25377,17.7,609,6413.61,378,4.17,3,2341,-7,0,0,"Jan, 2024",4,2000,8.90
"sublimation tumblers 40 oz",680,"Arts, Crafts & Sewing",FBA,"Large Standard-Size",6,56200,37.64,175,6980.37,27,4.17,2,,,0,0,"Jan, 2024",3,285,15.32
"retirement countdown clock",1181,"Kitchen & Dining",FBA,"Large Standard-Size",3,100991,21.09,242,4444.24,414,4.15,2,2225,6,-1,0,"Jan, 2024",3,109,0.57
"garage door top seal",655,"Tools & Home Improvement",FBA,"Large Standard-Size",6,67541,30.95,337,10584.2,403,4.16,3,5769,6,44,0,"Jan, 2024",4,313,2.55
"donut pillow for ear",1680,"Home & Kitchen",FBA,"Large Standard-Size",9,92095,22.61,621,13373.08,286,4.17,2,6609,76,0,0,"Jan, 2024",3,174,8.78
