"URL","ASIN","Title","Brand","Fulfillment","Category","BSR","Subcategory","Price","Price Trend (90 days) (%)","Monthly Sales","Sales Trend (90 days) (%)","Monthly Revenue","Review Count","Reviews Rating","Seller","Number of Active Sellers","Last Year Sales","Sales Year Over Year (%)","Size Tier","Length","Width","Height","Weight","Storage Fee (Jan - Sep)","Storage Fee (Oct - Dec)","Best Sales Period","Age (Month)","Number of Images","Variation Count","Sales to Reviews"
"https://amazon.com/dp/B093P2SYT2","B093P2SYT2","TAISHER 5PCS 304 Stainless Steel 90 Degree Elbow Fittings, 1/2 Inch NPT Female Pipe to 1/2 Inch NPT Female 304 Stainless Pipe Fitting","TAISHER","FBA","Industrial & Scientific",11936,"Pipe Fittings",13.99,"N/A",292,21,4085.08,189,4.1,"Taisher",1,3558,40,"Large Standard-Size",1.54,4.02,5.43,0.75,13.42,46.69,"03/01/2023",31,7,46,1.54
"https://amazon.com/dp/B09G99PYY2","B09G99PYY2","GOVALVE Stainless Steel Float Ball Valves - 1/2” NPT Male Thread Flow Control Float Sensor Valve Automatic Water Level Control Float For Tank Pond Water Tower","GOVALVE","FBA","Industrial & Scientific",16010,"Float Valves",23.99,"N/A",170,76,4078.3,75,3.8,"govalve",1,1636,29,"Large Standard-Size",4.25,5.55,7.72,0.75,72.71,252.91,"03/01/2023",27,8,7,2.27
"https://amazon.com/dp/B0995CSHZP","B0995CSHZP","VieWood Wood Cutting Board (Set of 3) Whole Piece with Juice Grooves, Chopping Board for Meat Butcher Block, Vegetables, Fruits, Durable, Knife Friendly (11"",14""&18"")","VieWood","FBA","Kitchen & Dining",62833,"Cutting Boards",39.99,"N/A",121,70,4838.79,78,4.2,"VieWood - Vietnamese kitchenware manufacturer",1,821,7,"Large Standard-Size",2.6,10.83,15.51,6.64,174.39,606.57,"01/01/2023",26,8,7,1.55
"https://amazon.com/dp/B09R36HDXH","B09R36HDXH","A American Ayurveda 100% Pure Copper Water Bottles Joint Free, Leak Proof, Tumbler, Flask, Yoga, Health Benefits, Natural Ayurvedic Alkaline Water with Water Temperature Indicator (600ml (20Oz))","A","FBA","Kitchen & Dining",20114,"Thermoses",22.99,"N/A",346,641,7954.54,119,4.1,"American Ayurveda",1,2394,271,"Large Standard-Size",3.43,3.43,8.58,0.73,40.31,140.2,"04/01/2023",24,8,2,2.91
"https://amazon.com/dp/B09P6JNBRL","B09P6JNBRL","CASA COPENHAGEN Solitaire Designed in Denmark 600 GSM Hotel & Spa Decorative Kitchen & Bathroom Egyptian Cotton 6 Piece Towel Set, Includes 2 Bath Towels 2 Hand Towels 2 Washcloths – White","CASA COPENHAGEN","FBA","Home & Kitchen",105549,"Towel Sets",39.99,7,234,,9357.66,212,4.2,"Casa_Copenhagen",1,"N/A","N/A","Large Standard-Size",7.28,10.2,10.51,3.11,311.63,1083.93,"-",24,6,18,0.87
"https://amazon.com/dp/B07VTQDBDK","B07VTQDBDK","Genuine Purple Lambskin Leather Fabric: Purple Real Leather Material for Crafting and Bookbinding depending on The Leather Size (Purple Passion, 18x24In/ 45x60cm)","LeatherAA ITALIAN LEATHER COMPANY","FBA","Arts, Crafts & Sewing",36274,"Leathercraft",39.96,"N/A",103,-25,4115.88,193,4.1,"LeatherAA",1,1540,-16,"Small Oversize",2,2,19.5,0.35,21.67,54.17,"10/01/2022",37,5,115,0.53
"https://amazon.com/dp/B08SWCW1CH","B08SWCW1CH","Playology Plush Squeaky Ball Dog Toy - Engaging All Natural Peanut Butter Scented Dog Toy, for Medium Dogs - Squeak, Chew, Toss, Fetch, and Play!","Playology","FBM","Pet Supplies",42154,"Squeak Toys",16.99,-4,724,-65,12300.76,235,3.9,"Bones & Baths",2,10677,16,"Large Standard-Size",3.82,6.73,7.99,0.22,"N/A","N/A","12/01/2023",33,7,8,0.74
"https://amazon.com/dp/B0B4JTJWZK","B0B4JTJWZK","BsBsBest Curtain Rods for Windows 28 to 130 inch, 1 inch Wrap Around Window Industrial Double Curtain Rod, Black Adjustable Outdoor Curtain Rods Set, Blackout Rustic Farmhouse Curtain Rod","BsBsBest","FBA","Home & Kitchen",215675,"Single Rods",49.99,1,120,-14,5998.8,182,4.2,"BsBsBest-US",1,2946,"N/A","Large Standard-Size",4,4,16.6,5,106.06,368.89,"01/01/2023",17,7,7,0.66
"https://amazon.com/dp/B0932QK8S5","B0932QK8S5","TOPGREENER Humidity Sensor Switch, New Model, Air Moisture Detection for Ventilation Fan, Bathroom Fan Automated Control, Adjustable Timing, Neutral Wire Required, UL Listed, TDHS5-I, Ivory","TOPGREENER","FBA","Tools & Home Improvement",32850,"Ventilation Fans",28.99,"N/A",334,5,9682.66,348,4.2,"Top Greener Inc",1,3993,"N/A","Large Standard-Size",2.44,2.48,4.57,0.31,11.04,38.41,"11/01/2023",21,6,6,0.96
"https://amazon.com/dp/B09X2ZZD3R","B09X2ZZD3R","David's Home 100% Viscose Made from Bamboo Cooling Fitted Sheet, 16"" Deep Pocket for Hot Sleeper, Silky Soft Breathable Cozy for All Seasons, 1 Piece Silky Bottom Sheet Only, White, Queen Size","David's Home","FBA","Home & Kitchen",310413,"Fitted Sheets",32.99,-7,124,105,4090.76,266,4.2,"David's Home",1,"N/A","N/A","Large Standard-Size",3.23,7.48,9.29,2.23,89.62,311.74,"07/01/2023",18,6,14,0.47
