"Keyword Phrase","Keyword Sales","Magnet IQ Score","Search Volume","Search Volume Trend","H10 PPC Sugg. Bid","H10 PPC Sugg. Min Bid","H10 PPC Sugg. Max Bid","Sponsored ASINs","Competing Products","CPR","Organic","Smart Complete","Amazon Recommended","Title Density",,
"timbuk2 messenger bag",127,"19,146","3,925",0,0.35,0.26,0.46,0,205,29,0,0,1,0,,
"targus laptop bag",240,"9,786","2,838",6,0.83,0.58,1.25,0,290,28,0,0,1,0,,
"carhartt crossbody bag",274,"8,008","2,939",-25,0.35,0.25,0.48,0,367,28,0,0,1,0,,
"mariconera para hombre",221,"7,381","2,170",-19,0.56,0.43,0.73,0,294,27,0,0,1,0,,
"ecosusi laptop bag",2,"5,619","1,298",25,0.63,0.42,0.79,0,231,26,0,0,1,0,,
"morral para mujer",73,"5,273","1,508",111,0.7,0.45,0.88,0,286,26,0,0,1,0,,
"bandoleras para hombre",132,"5,271","1,750",14,0.43,0.28,0.56,0,332,26,0,0,1,0,,
"patagonia sling bag",201,"5,207","2,838",-14,0.51,0.37,0.64,0,545,28,0,0,1,0,,
"artbin super satchel",71,"4,374",678,9,0.6,0.35,0.62,0,155,10,0,1,0,3,,
"montana west tote bag","-","4,065","1,508",24,0.37,0.27,0.45,0,">371",26,0,0,1,0,,
"gootium canvas messenger bag",66,"3,809",678,-23,0.47,0.34,0.68,0,178,10,1,0,1,0,,
"cartera para hombre",128,"3,470","1,749",-4,0.68,0.44,0.77,0,">504",27,0,0,1,1,,
"bandolera para mujer",71,"3,424","1,106",11,0.38,0.29,0.51,0,">323",26,0,0,1,0,,
"travel neck wallet",114,"3,090","1,298",51,0.5,0.4,0.62,0,">420",31,0,0,1,15,,
"michael kors handbags satchel handbags",29,"2,682","1,714",-33,0.3,0.21,0.36,0,639,26,0,1,0,0,,
"maletines para hombres",69,"2,559",865,7,0.71,0.49,0.98,0,338,11,1,0,1,0,,
"bolso para hombre",122,"1,951","1,740",7,0.39,0.3,0.55,0,">892",26,0,0,1,0,,
"jw field service supplies",211,"1,909",735,-47,0.51,0.37,0.68,0,385,11,0,0,1,2,,
"maletin ejecutivo para hombre",3,"1,828",543,17,0.88,0.72,1.2,0,297,9,1,0,0,0,,
"tactical messenger bag",90,"1,749","1,749",52,0.46,0.35,0.61,0,">1,000",31,0,0,1,16,,
"morral para hombre",40,"1,687",678,19,0.56,0.39,0.65,0,402,10,0,0,1,0,,
"bolsos cruzados para mujer",82,"1,663",735,6,0.44,0.34,0.51,0,">442",11,0,0,1,0,,
"bolso cruzado para hombre",67,"1,622",678,11,0.44,0.33,0.61,0,418,10,1,0,0,0,,
"bolso bandolera para hombre",57,"1,596",597,3,0.47,0.36,0.58,0,374,9,0,0,1,0,,
